RF,Latency,Freq,SigmaT,OmegaT,SigmaF,OmegaF,Pt,Amplitude
0,0.015313356,4600.235813,0.009211026,20.84458455,3120.4466,6.41E-05,1.570796327,1
1,0.017029565,4271.8214,0.007396952,25.95663612,1716.744885,0.0001165,1.570796327,1
10,0.016621225,3308.172503,0.009149707,20.98427837,496.1852052,0.000806151,0,1
11,0.006702698,3570.890505,0.003902125,49.20396236,384.0929225,0.001041415,0,1
12,0.013021436,3643.866519,0.003135662,61.23109461,797.0499997,0.000501851,0,1
13,0.014731824,5130.649568,0.005189303,36.99918682,464.3331031,0.000861451,0,1
14,0.008306961,4118.779037,0.005921956,32.42172167,329.9079669,0.001212459,0,1
15,0.013357071,4508.927059,0.004840171,39.66801779,1749.105163,0.000114344,1.570796327,1
16,0.011425091,1707.289812,0.003617874,53.06983586,2033.165187,9.84E-05,1.570796327,2
17,0.012991954,1218.057882,0.007641504,25.1259448,2572.655645,7.77E-05,1.570796327,1
18,0.012214113,7285.303536,0.004904797,39.14535349,385.8616768,0.001036641,0,1
19,0.011167088,3489.302487,0.003660196,52.45621266,259.9524191,0.001538743,0,1
2,0.020485867,4544.583403,0.008808688,11.4226641,1872.481013,0.00010681,1.570796327,1
20,0.010642489,4293.797533,0.006588337,29.1424051,828.3690472,0.000241438,1.570796327,1
21,0.014911232,3833.205924,0.009510678,20.18783603,1371.630353,0.000145812,1.570796327,1
22,0.015127879,1804.974021,0.009704059,19.78553535,1880.337416,0.000106364,1.570796327,1
23,0.009586754,4038.719622,0.003175437,60.46411287,2474.316911,8.08E-05,1.570796327,2
24,0.008195173,2844.949822,0.00436562,43.9800105,1504.594807,0.000132926,1.570796327,1.5
25,0.010832356,5540.335455,0.00303435,63.27549373,1704.409241,0.000117343,1.570796327,2
26,0.013422372,1088.1454,0.008020703,23.93805133,527.1638128,0.000758777,0,1
27,0.00995393,3544.669934,0.007621492,25.19191915,2197.999275,9.10E-05,1.570796327,1
28,0.010918965,6503.680077,0.004515924,42.51621686,1516.082535,0.000131919,1.570796327,1
29,0.009636597,4697.595229,0.004839762,39.6713727,306.7457544,0.001304012,0,1
3,0.015517009,2009.666563,0.007826237,24.532863,2142.938903,9.33E-05,1.570796327,1
30,0.015167008,6291.858027,0.0027497,69.82578939,2235.279808,8.95E-05,1.570796327,2
31,0.014045565,3499.946997,0.005602587,34.26988418,1604.486524,0.00012465,1.570796327,1
32,0.01477893,5475.55515,0.007464493,25.72177368,363.4844692,0.00110046,0,1
33,0.008716875,4509.034963,0.00375114,51.18443508,513.5059953,0.000778959,0,1
34,0.010297884,4686.04308,0.004461609,43.03380435,2472.740886,8.09E-05,1.570796327,1
35,0.017270365,3379.611728,0.00320231,59.9567127,1537.936667,0.000130044,1.570796327,2
36,0.009885834,6281.648779,0.003830147,50.12862581,2575.097318,7.77E-05,1.570796327,2
37,0.015350393,2075.989996,0.013136322,14.61596358,512.5382757,0.00078043,0,1
38,0.009854646,3515.314972,0.005761525,33.32450827,416.8197137,0.000959648,0,1
39,0.0082218,4331.681562,0.004872637,39.40371404,2061.599584,9.70E-05,1.570796327,1
4,0.011196877,4749.927,0.002697125,71.18691254,537.0194411,0.000744852,0,1
40,0.013520304,3810.795378,0.003395321,56.54841172,614.6170658,0.000650812,0,1
41,0.013909192,4157.272079,0.00619411,30.99719023,1537.400017,0.00013009,1.570796327,1
42,0.012380191,3792.603548,0.007740667,24.80406398,843.2968202,0.000474329,0,1
43,0.011322899,2637.277851,0.004190197,45.82123079,1732.542201,0.000115437,1.570796327,1
44,0.007472257,4789.940916,0.002118906,90.61280337,2065.101555,9.68E-05,1.570796327,6
45,0.01199292,4390.482552,0.004144088,46.33106188,1897.849547,0.000105382,1.570796327,1
46,0.012491962,5846.793611,0.00849318,22.60637387,1600.385821,0.00012497,1.570796327,1
47,0.017022545,5958.859537,0.008957033,21.43566947,2320.205901,8.62E-05,1.570796327,1
48,0.014735409,2404.898792,0.003509029,54.71598811,661.6068325,0.000604589,0,1
49,0.01703647,2768.716463,0.007813985,24.57132915,977.4672821,0.000409221,0,1
5,0.017607716,3503.694772,0.017862797,10.74859644,290.620396,0.001376366,0,1
50,0.018771321,4889.384052,0.006482107,29.61999689,549.1846995,0.000728352,0,1
51,0.016146595,4168.192071,0.01055017,18.19875869,1319.555014,0.000151566,1.570796327,1
52,0.011520426,2096.874429,0.006157707,31.18043908,1598.021284,0.000125155,1.570796327,1
53,0.010590806,3950.557976,0.007681351,24.99560442,838.2936778,0.00047716,0,1
54,0.018353662,2378.501513,0.005594059,34.32212909,1322.932204,0.000151179,1.570796327,1
55,0.010005758,2425.044913,0.004139784,46.37923462,1048.148817,0.000190813,1.570796327,1
56,0.018015977,4890.487236,0.009806094,19.57966127,239.4916485,0.001670204,0,1
57,0.017566894,5097.312583,0.015000836,12.79928628,218.6671406,0.001829264,0,1
58,0.013831424,847.6239837,0.003101731,61.90091123,344.8992618,0.001159759,0,1
59,0.018421593,4844.826242,0.006827485,28.1216306,1199.320445,0.000166761,1.570796327,1
6,0.013973767,5093.505885,0.006076832,31.59540797,1550.454102,0.000128994,1.570796327,1
7,0.007649045,3301.093944,0.005441243,35.28605341,451.7717992,0.000885403,0,1
8,0.013847721,2816.928643,0.010393474,18.47313092,1813.437892,0.000110288,1.570796327,1
9,0.011224484,3565.683896,0.002455619,78.18802446,343.6414448,0.001164004,0,1
